name;year;battle_number;attacker_king;defender_king;attacker_1;attacker_2;attacker_3;attacker_4;defender_1;defender_2;defender_3;defender_4;attacker_outcome;battle_type;major_death;major_capture;attacker_size;defender_size;attacker_commander;defender_commander;summer;location;Lat;Lng;region;note
Battle of the Golden Tooth;298;1;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Tully;;;;win;pitched battle;1;0;15000;4000;Jaime Lannister;Clement Piper, Vance;1;Golden Tooth;7.26984;10.64575;The Westerlands;Ser Jaime Lannister, commanding the Lannister forces, descends on the outnumbered rivermen and breaks them. Lord Vance is slain during the fight and Lord Piper retreats back to Riverrun with the remnants of his forces, with Jaime following on his heels. Meanwhile, Tywin brings another Lannister army up from the south. The rout of the rivermen beneath the Golden Tooth allows Jaime to then fight the battle under the walls of Riverrun. Ser Marq Piper and Karyl Vance, now a lord, raid behind the Lannisters' lines.
Battle at the Mummer's Ford;298;2;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Baratheon;;;;win;ambush;1;0;;120;Gregor Clegane;Beric Dondarrion;1;Mummer's Ford;7.1663;12.76611;The Riverlands;The force under Beric Dondarrion is intercepted at the Mummer's Ford by forces from House Lannister. They make a fighting retreat only to be taken in the rear by Gregor Clegane and his men. Lothar Mallery, Gladden Wylde and Raymun Darry are all killed, as are most of Lord Eddard's men. Beric is killed as well by the Mountain's lance. Young Lord Edric Dayne, participating as Beric's squire, pulls him out of the Red Fork and stands over the body while the battle rages around them. Alyn of Winterfell manages to rally the survivors into a retreat. Meanwhile, Thoros reflexively says the words of his faith that restores Beric to life. At Moat Cailin, Robb Stark tells his mother, Catelyn Tully, that the Lannisters have won victories at the Golden Tooth and the Mummer's Ford, and that Lord Tywin Lannister has closed off the kingsroad and is marching north towards Harrenhal. However, the survivors of Beric's company form the core of the brotherhood without banners. Later at the crossroads inn, after hearing of the Whispering Wood and the Battle of the Camps, Tywin tells Tyrion and Kevan Lannister that Thoros of Myr and Beric Dondarrion continue to plague their foraging parties.
Battle of Riverrun;298;3;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Tully;;;;win;pitched battle;0;1;15000;10000;Jaime Lannister, Andros Brax;Edmure Tully, Tytos Blackwood;1;Riverrun;9.47615;13.32092;The Riverlands;Jaime meets the Tullys under the walls of Riverrun. Securing a victory, Jaime puts the river lords to rout. Edmure and many of his knights and bannermen are taken captive. Lord Tytos Blackwood manages to lead some of the surviving men back within Riverrun, where Jaime places them under siege. In the meantime Tywin leads a second, larger Lannister army against the companies of men Edmure had dispersed along his borders to guard against Ser Gregor Clegane's raiding. Tywin and Ser Kevan Lannister are able to destroy them piecemeal before they can regroup. They then seize many prominent castles in the riverlands, most notably Harrenhal, which is yielded without a fight. They assume a position at the ruby ford, where they can both block any Stark or Arryn attempt to relieve Riverrun and maintain contact with King's Landing.
Battle of the Green Fork;298;4;Robb Stark;Joffrey/Tommen Baratheon;Stark;;;;Lannister;;;;loss;pitched battle;1;1;18000;20000;Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood;Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand;1;Green Fork;10.196;16.70471;The Riverlands;The Stark army, commanded by Lord Roose Bolton, marches throughout the night in an effort to take the Lannister army by surprise. They arrive in the early morning and launch their attack. Tyrion Lannister observes the banners of Houses Hornwood, Karstark, Cerwyn, Glover, Frey, and Stark. However, the Lannister army arrays itself in time to meet the northmen. The westermen's order of battle includes: The center: Ser Kevan Lannister commands 10,000 men, with Lords Lefford, Lydden and Serrett at his side with 300 heavy horse. The rest of the center is a mixed infantry force including pikemen, archers, axemen, swordsmen, and spearmen. The right: Ser Addam Marbrand commands 4,000 knights and other heavy lancers, among them Ser Flement Brax and members of Houses Crakehall and Swyft. The left/van: Ser Gregor Clegane commanding. At 1,000 men, the vanguard is entirely mounted, but consists of Tyrion and his clansmen, freeriders, sellswords, and raw fieldhands and smallfolk from Lannisport. The reserve: Personally commanded by Lord Tywin Lannister. 5,000 men, half mounted, half afoot. Tywin places his undisciplined men on the left to tempt the Stark commander, whom Tywin believes is the untested Robb Stark, to overcommit there. Tywin hopes the Lannister van will rout and the Starks will plunge into the gap, eager to flank him. Tywin then intends for Kevan and the center to wheel to the left and take the northerners in the flank. Perhaps owing to the northerners' exhaustion following their night march, the Lannister van, led by Gregor, defeats the forces arrayed in front of it. Fighting in the van, Tyrion hides beneath his shield when arrows fall on northmen and westermen alike. Kevan then brings up the center in support of the left, and pushes the Stark lines against the hills behind them. Tywin leads his reserve behind the van, along the river, to break the remnants of the Stark line. The Stark forces are routed and flee to the mouth of the causeway where Roose reforms them. Although Roose Bolton is defeated, his march down the Green Fork, prior to the battle, distracts the Lannister army long enough to give Robb Stark the chance to fall upon Ser Jaime Lannister'sorce unmolested in the battle in the Whispering Wood. Roose's host loses several thousand men in the battle. Roose, Robett Glover, Ronnel Stout, Ser Kyle Condon, Ser Aenys Frey, Elmar Frey and the remainder of the army are able to escape because Lord Tywin Lannister, on account of his desire to help Jaime, fails to give chase. During the battle, Lord Halys Hornwood and Ser Pate of the Blue Fork are killed. Lord Medger Cerwyn is captured and dies later at Harrenhal from a wound taken in the fighting. Other captives taken are Harrion Karstark, Ser Wylis Manderly, Ser Donnel Locke, Ser Jared Frey, Ser Hosteen Frey, Ser Danwell Frey, and Ronel Rivers.[6] The deaths of Lord Hornwood at the Green Fork and his son Daryn in the Whispering Wood cause a succession crisis to Hornwood. Tyrion leaves a captured northern knight in the care of Bronn. Two of Tyrion's clan leaders, Conn and Ulf son of Umar, are among the slain.
Battle of the Whispering Wood;298;5;Robb Stark;Joffrey/Tommen Baratheon;Stark;Tully;;;Lannister;;;;win;ambush;1;1;1875;6000;Robb Stark, Brynden Tully;Jaime Lannister;1;Whispering Wood;9.63325;10.51392;The Riverlands;Robb sends Brynden with a few hundred men carrying Tully banners to raid and draw Jaime from his camp at Riverrun. Expecting to crush a small force, Jaime and most of his cavalry are lured north of the Tumblestone to a forested valley where the rest of Robb's men are hidden. Lady Maege Mormont and Lord Jason Mallister wait east of the valley, while Lord Rickard Karstark is to the north. West is Ser Stevron Frey, and across a far ridge Lord Greatjon Umber. Robb's mother, Lady Catelyn Stark, waits high on a ridge under the protection of Hallis Mollen. Once all of Jaime's unsuspecting men have entered the valley, the Mormonts sound horns to signal the moonlit trap has been sprung, followed by Umbers, Mallisters, Freys, and Karstarks. Jaime's horsemen are attacked by bowmen hidden in the trees by Robb, and the Young Wolf and northern bannermen lead their own cavalry against the ambushed westermen. Robb is joined in the fighting by his direwolf, Grey Wind. When Jaime sees the battle is lost, he rallies his retainers and attempts to cut his way through the host to slay Robb in single combat. He is halted, but not before slaying Daryn Hornwood, Eddard Karstark and Torrhen Karstark of Robb's personal guard. Grey Wind howls as dawn breaks and the fighting winds down. According to Theon Greyjoy, the Lannisters lose ten men for every one of Robb's that falls. Jaime is captured, along with near a hundred knights and a dozen lords bannermen including: Lord Gawen Westerling, Lord Quenten Banefort, Ser Garth Greenfield, Lord Regenard Estren, Ser Tytos Brax, Mallor the Dornishman, Willem Lannister, and the Lannister cousins Cleos Frey and Tion Frey. The capture of Jaime leaves the Lannister army surrounding Riverrun leaderless, leading directly to its disintegration at the Battle of the Camps and leaving Lord Tywin Lannister and Queen Cersei Lannister despondent. Having Jaime as a hostage, and recognizing his value as a prisoner, the Starks gain enormous bargaining power. The deaths of Eddard and Torrhen Karstark by Jaime's hand plant a seed of vengeance in the heart of their father, Lord Rickard Karstark, however. Gawen is taken to Seagard, Quenten to Stone Hedge, Garth to Raventree Hall, and Regenard and Tytos to the Twins. Willem, Cleos, and Tion are held hostage at Riverrun.
Battle of the Camps;298;6;Robb Stark;Joffrey/Tommen Baratheon;Stark;Tully;;;Lannister;;;;win;ambush;0;0;6000;12625;Robb Stark, Tytos Blackwood, Brynden Tully;Lord Andros Brax, Forley Prester;1;Riverrun;9.47615;13.32092;The Riverlands;Ser Brynden Tully, leading Robb's van, attacks the Lannister camp north of the Tumblestone. His force clears palisades and finishes off any remaining scouts. The sleeping, leaderless camp is overrun. Men from the other camps, roused by the noise, soon attempt to come to the aid of the camp under attack. Lord Andros Brax leads his men to the rafts and attempts to make a crossing. Riverrun begins pelting the rafts with thrown rocks, and soon the rafts are flipping and sinking. Among those killed on the rafts is Lord Brax. The camp between the rivers is overrun too, this time by men led by Robb Stark, Lord Jon Umber, and members of House Mallister coming in from the west. The Lannister force attempts to form a shieldwall, but are taken in the rear by a sortie from Riverrun led by Lord Tytos Blackwood. Lord Umber fires the siege towers and Lord Blackwood releases the prisoners taken in the earlier battle under the walls of Riverrun. The southern camp of the Lannister force, 2,000 spears and 2,000 bowmen under the command of Ser Forley Prester, is left unmolested and retreats in good order back to the Golden Tooth. The Tyroshi sellsword who leads Forley's freeriders strikes his banners and switches sides, however.
Sack of Darry;298;7;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Darry;;;;win;pitched battle;0;0;;;Gregor Clegane;Lyman Darry;1;Darry;9.28646;17.39685;The Riverlands;Lord Lyman holds the castle for a fortnight. Ser Gregor Clegane descends on the castle, taking it quickly and putting all the defenders to the sword, including the eight-year-old Lord Lyman. Gregor leaves a garrison of Lannister soldiers. Ser Gregor, having killed Ser Raymun Darry at the Mummer's Ford, and the young Lord Lyman at Darry, is responsible for the downfall one of the major houses of the riverlands. Lord Lyman was the last male heir of the Darry line. Later in the war, Darry falls to northern forces after a brief siege. Ser Helman Tallhart receives orders from Lord Roose Bolton to put the Lannister garrison to the sword and torch the castle in the name of Robb Stark.
Battle of Moat Cailin;299;8;Balon/Euron Greyjoy;Robb Stark;Greyjoy;;;;Stark;;;;win;pitched battle;0;0;;;Victarion Greyjoy;;1;Moat Cailin;20.10752;14.80408;The North;Victarion and the Iron Fleet sail up the Saltspear and the Fever River to its headwaters, from which Moat Cailin is less than twenty miles away. The Victarion-led ironborn seize the ruined fortifications, which are held by a small northern force of mostly archers. Other captains with Victarion include Red Ralf Stonehouse, Ralf Kenning, and Ralf the Limper. After harrying the Stony Shore, Theon changes Balon's plan and captures Winterfell. The news of the seizures of Winterfell and Moat Cailin changes Robb's plans and forces him to return to the north. Moat Cailin is eventually besieged by northmen after Victarion brings most of his men back to the Iron Islands for the kingsmoot.
Battle of Deepwood Motte;299;9;Balon/Euron Greyjoy;Robb Stark;Greyjoy;;;;Stark;;;;win;siege;0;0;1000;;Asha Greyjoy;;1;Deepwood Motte;29.33909;10.71716;The North;Galbart Glover, Master of Deepwood Motte, and his brother, Robett Glover, are away fighting in southern Westeros. Asha Greyjoy takes thirty longships of picked men and sails north around Sea Dragon Point. She lands on the tidal flats to the north of Deepwood and seizes the castle after a moon's turn with a thousand ironborn. Asha takes hostage Robett's family, including Lady Sybelle Glover and her children, Gawen and Erena, as well Larence Snow, the Bastard of Hornwood. Rather than follow Balon's instructions to continue raiding the Stony Shore, Theon instead seizes Winterfell in an effort to compete with Asha. Having few men to hold the large castle, Theon has Stygg ride to Deepwood to request aid from Asha. She visits Theon at Winterfell, but he refuses to give up his new seat and Asha leaves him only with ten reinforcements. All ten abandon Theon when Ser Rodrik Cassel approaches the castle, and Theon is soon captured by House Bolton during the sack of Winterfell. After the Battle of the Blackwater, Lord Roose Bolton orders Robett Glover to attack Duskendale. Following the defeat at Duskendale, Roose tells Robb Stark that Robett attacked out of grief and fear for the fall of Deepwood. Deepwood is eventually retaken by King Stannis Baratheon, during which Asha is taken prisoner.
Battle of the Stony Shore;299;10;Balon/Euron Greyjoy;Robb Stark;Greyjoy;;;;Stark;;;;win;ambush;0;0;264;;Theon Greyjoy;;1;Stony Shore;24.46215;5.38879;The North;When news of ironborn raiding reaches Torrhen's Square, Leobald Tallhart sends Benfred Tallhart and his Wild Hares to investigate. Expecting no trouble from the ironmen, Benfred and his party approach the Stony Shore without scouts, singing and talking loudly. In a crook of a road, the ironborn fall on the party, first loosing a flight of arrows from concealed positions. Theon leads the men-at-arms into hand-to-hand combat and massacres the northerners. The captured Benfred refuses to answer questions and insults the Drowned God within Aeron Greyjoy's hearing. He is put to death on Theon's command, being drowned by Aeron and his followers. Theon mortally wounds one of his ironborn, Todric, after the drunken man squabbles over loot. After defeating the Wild Hares, Theon gives six of his eight longships to Aeron so he can continue harrying the coast, while the crew of Theon's Sea Bitch and Dagmer's Foamdrinker advance inland. By killing Benfred's party, the true size of the assault by the ironmen is kept secret a little longer, which allows the taking of Deepwood Motte and an attack on Torrhen's Square.
